countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2400.0,2.37
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,2800.0,2.76
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1450.0,1.43
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,oil and fats,Oil,137,L,actual,Retail,RWF,3533.33,3.49
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2400.0,2.37
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,583.33,0.58
RWA,2022-06-15,Western Province,Karongi,Kivuruga,2379,-2.16,29.39,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-06-15,Western Province,Karongi,Kiziba (Camp),2376,-2.13,29.36,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,250.0,0.25
RWA,2022-06-15,Western Province,Karongi,Kiziba (Camp),2376,-2.13,29.36,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,350.0,0.35
RWA,2022-06-15,Western Province,Karongi,Kiziba (Camp),2376,-2.13,29.36,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,380.0,0.38
RWA,2022-06-15,Western Province,Karongi,Kiziba (Camp),2376,-2.13,29.36,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-06-15,Western Province,Karongi,Kiziba (Camp),2376,-2.13,29.36,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2500.0,2.47
RWA,2022-06-15,Western Province,Karongi,Kiziba (Camp),2376,-2.13,29.36,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1500.0,1.48
RWA,2022-06-15,Western Province,Karongi,Kiziba (Camp),2376,-2.13,29.36,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2500.0,2.47
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2500.0,2.47
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3500.0,3.46
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1616.67,1.6
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2566.67,2.53
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,250.0,0.25
RWA,2022-06-15,Western Province,Karongi,Mubuga,2378,-2.14,29.31,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,240.0,0.24
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,450.0,0.44
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,175.0,0.17
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,350.0,0.34
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,475.0,0.47
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2900.0,2.85
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3350.0,3.3
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1500.0,1.48
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,oil and fats,Oil (palm),62,L,actual,Retail,RWF,3200.0,3.15
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,125.0,0.12
RWA,2022-07-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,425.0,0.42
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,283.33,0.28
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,450.0,0.44
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,170.0,0.17
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,375.0,0.37
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,450.0,0.44
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2750.0,2.71
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3300.0,3.25
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1550.0,1.53
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,oil and fats,Oil (palm),62,L,actual,Retail,RWF,3300.0,3.25
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,210.0,0.21
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,125.0,0.12
RWA,2022-07-15,Eastern Province,Gatsibo,Nyabiheke (Camp),2372,-1.6,30.26,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Maize,51,KG,actual,Retail,RWF,470.0,0.46
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,800.0,0.79
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,1100.0,1.08
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,1200.0,1.18
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,miscellaneous food,Salt,185,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1500.0,1.48
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,oil and fats,Oil,137,L,actual,Retail,RWF,3300.0,3.25
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,oil and fats,Oil (palm),62,L,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,700.0,0.69
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Kabeza,2363,-2.31,30.83,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Maize,51,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,800.0,0.79
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,1300.0,1.28
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,miscellaneous food,Salt,185,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1550.0,1.53
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,oil and fats,Oil,137,L,actual,Retail,RWF,3400.0,3.35
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,oil and fats,Oil (palm),62,L,actual,Retail,RWF,3200.0,3.15
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Kigufi,2364,-2.24,30.8,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,150.0,0.15
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,250.0,0.25
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,466.67,0.46
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,250.0,0.25
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3500.0,3.45
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1433.33,1.41
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,oil and fats,Oil (palm),62,L,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Mahama (Camp),2368,-2.31,30.84,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,100.0,0.098
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Maize,51,KG,actual,Retail,RWF,450.0,0.44
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,800.0,0.79
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,1100.0,1.08
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,1200.0,1.18
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3500.0,3.45
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,miscellaneous food,Salt,185,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1500.0,1.48
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,oil and fats,Oil,137,L,actual,Retail,RWF,3500.0,3.45
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,oil and fats,Oil (palm),62,L,actual,Retail,RWF,3200.0,3.15
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,150.0,0.15
RWA,2022-07-15,Eastern Province,Kirehe,Nyakarambi,1095,-2.27,30.68,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,100.0,0.098
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,152.0,0.15
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,450.0,0.44
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,125.0,0.12
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,368.33,0.36
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,1400.0,1.38
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,558.33,0.55
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2616.67,2.58
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3500.0,3.45
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1366.67,1.35
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2516.67,2.48
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,335.0,0.33
RWA,2022-07-15,Southern Province,Gisagara,Kabuga,1068,-2.69,29.85,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,175.0,0.17
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa,2381,-2.68,29.85,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa,2381,-2.68,29.85,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,383.33,0.38
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa,2381,-2.68,29.85,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa,2381,-2.68,29.85,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2766.67,2.72
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa,2381,-2.68,29.85,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1433.33,1.41
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa,2381,-2.68,29.85,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2400.0,2.36
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,466.67,0.46
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,175.0,0.17
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,365.71,0.36
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2933.33,2.89
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1450.0,1.43
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2420.0,2.38
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,300.0,0.3
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Gisagara,Mugombwa (Camp),2367,-2.67,29.85,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,150.0,0.15
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,380.0,0.37
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1400.0,1.38
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,oil and fats,Oil (palm),62,L,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,300.0,0.3
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Gasarenda,1057,-2.51,29.48,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,150.0,0.15
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,350.0,0.34
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,1350.0,1.33
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,600.0,0.59
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2600.0,2.56
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,3000.0,2.95
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,1550.0,1.53
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,oil and fats,Oil (palm),62,L,actual,Retail,RWF,2800.0,2.76
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,325.0,0.32
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,150.0,0.15
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme,2359,-2.49,29.52,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme (Camp),2371,-2.48,29.52,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme (Camp),2371,-2.48,29.52,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,400.0,0.39
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme (Camp),2371,-2.48,29.52,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,200.0,0.2
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme (Camp),2371,-2.48,29.52,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,370.0,0.36
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme (Camp),2371,-2.48,29.52,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,500.0,0.49
RWA,2022-07-15,Southern Province,Nyamagabe,Kigeme (Camp),2371,-2.48,29.52,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2600.0,2.56
